Total Nacional;Comunidades y Ciudades Autónomas;Situación laboral;Sexo;Total;Total_ps
Total Nacional;12 Galicia;Colegiados no jubilados;Hombres;17,51;17.51
Total Nacional;12 Galicia;Colegiados no jubilados;Mujeres;81,59;81.59
Total Nacional;12 Galicia;Colegiados jubilados;Total;0,9;0.9
Total Nacional;12 Galicia;Colegiados jubilados;Hombres;0,32;0.32
Total Nacional;12 Galicia;Colegiados jubilados;Mujeres;0,58;0.58
Total Nacional;12 Galicia;No consta;Total;0;0
Total Nacional;12 Galicia;No consta;Hombres;0;0
Total Nacional;12 Galicia;No consta;Mujeres;0;0
Total Nacional;13 Madrid, Comunidad de;Total;Total;100;100
Total Nacional;13 Madrid, Comunidad de;Total;Hombres;17,68;17.68
Total Nacional;13 Madrid, Comunidad de;Total;Mujeres;82,32;82.32
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;Total;99,36;99.36
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;Hombres;17,45;17.45
Total Nacional;13 Madrid, Comunidad de;Colegiados no jubilados;Mujeres;81,9;81.9
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;Total;0,64;0.64
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;Hombres;0,23;0.23
Total Nacional;13 Madrid, Comunidad de;Colegiados jubilados;Mujeres;0,41;0.41
Total Nacional;13 Madrid, Comunidad de;No consta;Total;0;0
Total Nacional;13 Madrid, Comunidad de;No consta;Hombres;0;0
Total Nacional;13 Madrid, Comunidad de;No consta;Mujeres;0;0
Total Nacional;14 Murcia, Región de;Total;Total;100;100
Total Nacional;14 Murcia, Región de;Total;Hombres;19,23;19.23
Total Nacional;14 Murcia, Región de;Total;Mujeres;80,77;80.77
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;Total;98,79;98.79
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;Hombres;18,56;18.56
Total Nacional;14 Murcia, Región de;Colegiados no jubilados;Mujeres;80,23;80.23
Total Nacional;14 Murcia, Región de;Colegiados jubilados;Total;1,21;1.21
Total Nacional;14 Murcia, Región de;Colegiados jubilados;Hombres;0,67;0.67
Total Nacional;14 Murcia, Región de;Colegiados jubilados;Mujeres;0,54;0.54
Total Nacional;14 Murcia, Región de;No consta;Total;0;0
Total Nacional;14 Murcia, Región de;No consta;Hombres;0;0
Total Nacional;14 Murcia, Región de;No consta;Mujeres;0;0
Total Nacional;15 Navarra, Comunidad Foral de;Total;Total;100;100
Total Nacional;15 Navarra, Comunidad Foral de;Total;Hombres;17,1;17.1
Total Nacional;15 Navarra, Comunidad Foral de;Total;Mujeres;82,9;82.9
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;Total;96,42;96.42
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;Hombres;15,71;15.71
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados no jubilados;Mujeres;80,72;80.72
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;Total;3,58;3.58
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;Hombres;1,39;1.39
Total Nacional;15 Navarra, Comunidad Foral de;Colegiados jubilados;Mujeres;2,19;2.19
Total Nacional;15 Navarra, Comunidad Foral de;No consta;Total;0;0
Total Nacional;15 Navarra, Comunidad Foral de;No consta;Hombres;0;0
Total Nacional;15 Navarra, Comunidad Foral de;No consta;Mujeres;0;0
Total Nacional;16 País Vasco;Total;Total;100;100
Total Nacional;16 País Vasco;Total;Hombres;17,18;17.18
Total Nacional;16 País Vasco;Total;Mujeres;82,82;82.82
Total Nacional;16 País Vasco;Colegiados no jubilados;Total;99,05;99.05
Total Nacional;16 País Vasco;Colegiados no jubilados;Hombres;16,73;16.73
Total Nacional;16 País Vasco;Colegiados no jubilados;Mujeres;82,32;82.32
Total Nacional;16 País Vasco;Colegiados jubilados;Total;0,95;0.95
Total Nacional;16 País Vasco;Colegiados jubilados;Hombres;0,45;0.45
Total Nacional;16 País Vasco;Colegiados jubilados;Mujeres;0,5;0.5
Total Nacional;16 País Vasco;No consta;Total;0;0
Total Nacional;16 País Vasco;No consta;Hombres;0;0
Total Nacional;16 País Vasco;No consta;Mujeres;0;0
Total Nacional;17 Rioja, La;Total;Total;100;100
Total Nacional;17 Rioja, La;Total;Hombres;14,01;14.01
Total Nacional;17 Rioja, La;Total;Mujeres;85,99;85.99
Total Nacional;17 Rioja, La;Colegiados no jubilados;Total;98,7;98.7
Total Nacional;17 Rioja, La;Colegiados no jubilados;Hombres;13,36;13.36
Total Nacional;17 Rioja, La;Colegiados no jubilados;Mujeres;85,34;85.34
Total Nacional;17 Rioja, La;Colegiados jubilados;Total;1,3;1.3
Total Nacional;17 Rioja, La;Colegiados jubilados;Hombres;0,65;0.65
Total Nacional;17 Rioja, La;Colegiados jubilados;Mujeres;0,65;0.65
Total Nacional;17 Rioja, La;No consta;Total;0;0
Total Nacional;17 Rioja, La;No consta;Hombres;0;0
Total Nacional;17 Rioja, La;No consta;Mujeres;0;0
Total Nacional;18 Ceuta;Total;Total;100;100
Total Nacional;18 Ceuta;Total;Hombres;22,58;22.58
Total Nacional;18 Ceuta;Total;Mujeres;77,42;77.42
Total Nacional;18 Ceuta;Colegiados no jubilados;Total;100;100
Total Nacional;18 Ceuta;Colegiados no jubilados;Hombres;22,58;22.58
Total Nacional;18 Ceuta;Colegiados no jubilados;Mujeres;77,42;77.42
Total Nacional;18 Ceuta;Colegiados jubilados;Total;0;0
Total Nacional;18 Ceuta;Colegiados jubilados;Hombres;0;0
Total Nacional;18 Ceuta;Colegiados jubilados;Mujeres;0;0
Total Nacional;18 Ceuta;No consta;Total;0;0
Total Nacional;18 Ceuta;No consta;Hombres;0;0
Total Nacional;18 Ceuta;No consta;Mujeres;0;0
Total Nacional;19 Melilla;Total;Total;100;100
Total Nacional;19 Melilla;Total;Hombres;24;24
Total Nacional;19 Melilla;Total;Mujeres;76;76
Total Nacional;19 Melilla;Colegiados no jubilados;Total;100;100
Total Nacional;19 Melilla;Colegiados no jubilados;Hombres;24;24
Total Nacional;19 Melilla;Colegiados no jubilados;Mujeres;76;76
Total Nacional;19 Melilla;Colegiados jubilados;Total;0;0
Total Nacional;19 Melilla;Colegiados jubilados;Hombres;0;0
Total Nacional;19 Melilla;Colegiados jubilados;Mujeres;0;0
Total Nacional;19 Melilla;No consta;Total;0;0
Total Nacional;19 Melilla;No consta;Hombres;0;0
Total Nacional;19 Melilla;No consta;Mujeres;0;0
