Tipo de jornada;Comunidades y Ciudades Autonómas;Decil;Periodo;Total;Total_num
Total;12 Galicia;9;2021;3.161,98  ;3161.98
Total;12 Galicia;9;2020;3.147,58  ;3147.58
Total;12 Galicia;9;2019;2.995,46  ;2995.46
Total;12 Galicia;9;2018;2.992,73  ;2992.73
Total;12 Galicia;9;2017;2.939,70  ;2939.7
Total;12 Galicia;9;2016;2.925,44  ;2925.44
Total;12 Galicia;9;2015;2.980,06  ;2980.06
Total;12 Galicia;9;2014;2.956,19  ;2956.19
Total;12 Galicia;9;2013;2.895,18  ;2895.18
Total;12 Galicia;9;2012;2.857,26  ;2857.26
Total;12 Galicia;9;2011;2.875,41  ;2875.41
Total;12 Galicia;9;2010;2.839,63  ;2839.63
Total;12 Galicia;9;2009;2.810,22  ;2810.22
Total;12 Galicia;9;2008;2.721,08  ;2721.08
Total;12 Galicia;9;2007;2.580,86  ;2580.86
Total;12 Galicia;9;2006;2.448,06  ;2448.06
Total;12 Galicia;10;2022;5.003,02  ;5003.02
Total;12 Galicia;10;2021;5.042,28  ;5042.28
Total;12 Galicia;10;2020;4.749,78  ;4749.78
Total;12 Galicia;10;2019;4.651,31  ;4651.31
Total;12 Galicia;10;2018;4.659,20  ;4659.2
Total;12 Galicia;10;2017;4.533,03  ;4533.03
Total;12 Galicia;10;2016;4.408,63  ;4408.63
Total;12 Galicia;10;2015;4.564,40  ;4564.4
Total;12 Galicia;10;2014;4.511,74  ;4511.74
Total;12 Galicia;10;2013;4.460,11  ;4460.11
Total;12 Galicia;10;2012;4.591,44  ;4591.44
Total;12 Galicia;10;2011;4.425,63  ;4425.63
Total;12 Galicia;10;2010;4.265,49  ;4265.49
Total;12 Galicia;10;2009;4.075,46  ;4075.46
Total;12 Galicia;10;2008;4.206,56  ;4206.56
Total;12 Galicia;10;2007;3.683,83  ;3683.83
Total;12 Galicia;10;2006;3.539,77  ;3539.77
Total;13 Madrid, Comunidad de;Total decil;2022;2.381,25  ;2381.25
Total;13 Madrid, Comunidad de;Total decil;2021;2.368,05  ;2368.05
Total;13 Madrid, Comunidad de;Total decil;2020;2.350,19  ;2350.19
Total;13 Madrid, Comunidad de;Total decil;2019;2.172,10  ;2172.1
Total;13 Madrid, Comunidad de;Total decil;2018;2.264,58  ;2264.58
Total;13 Madrid, Comunidad de;Total decil;2017;2.191,73  ;2191.73
Total;13 Madrid, Comunidad de;Total decil;2016;2.165,79  ;2165.79
Total;13 Madrid, Comunidad de;Total decil;2015;2.265,83  ;2265.83
Total;13 Madrid, Comunidad de;Total decil;2014;2.272,67  ;2272.67
Total;13 Madrid, Comunidad de;Total decil;2013;2.198,73  ;2198.73
Total;13 Madrid, Comunidad de;Total decil;2012;2.119,11  ;2119.11
Total;13 Madrid, Comunidad de;Total decil;2011;2.053,62  ;2053.62
Total;13 Madrid, Comunidad de;Total decil;2010;2.099,41  ;2099.41
Total;13 Madrid, Comunidad de;Total decil;2009;2.052,79  ;2052.79
Total;13 Madrid, Comunidad de;Total decil;2008;2.049,06  ;2049.06
Total;13 Madrid, Comunidad de;Total decil;2007;1.860,54  ;1860.54
Total;13 Madrid, Comunidad de;Total decil;2006;1.730,21  ;1730.21
Total;13 Madrid, Comunidad de;1;2022;623,81  ;623.81
Total;13 Madrid, Comunidad de;1;2021;547,88  ;547.88
Total;13 Madrid, Comunidad de;1;2020;530,26  ;530.26
Total;13 Madrid, Comunidad de;1;2019;532,81  ;532.81
Total;13 Madrid, Comunidad de;1;2018;493,14  ;493.14
Total;13 Madrid, Comunidad de;1;2017;489,49  ;489.49
Total;13 Madrid, Comunidad de;1;2016;468,89  ;468.89
Total;13 Madrid, Comunidad de;1;2015;433,03  ;433.03
Total;13 Madrid, Comunidad de;1;2014;429,00  ;429,00
Total;13 Madrid, Comunidad de;1;2013;435,74  ;435.74
Total;13 Madrid, Comunidad de;1;2012;418,45  ;418.45
Total;13 Madrid, Comunidad de;1;2011;472,28  ;472.28
Total;13 Madrid, Comunidad de;1;2010;469,49  ;469.49
Total;13 Madrid, Comunidad de;1;2009;490,13  ;490.13
Total;13 Madrid, Comunidad de;1;2008;501,47  ;501.47
Total;13 Madrid, Comunidad de;1;2007;497,64  ;497.64
Total;13 Madrid, Comunidad de;1;2006;492,06  ;492.06
Total;13 Madrid, Comunidad de;2;2022;1.141,01  ;1141.01
Total;13 Madrid, Comunidad de;2;2021;1.039,79  ;1039.79
Total;13 Madrid, Comunidad de;2;2020;1.017,31  ;1017.31
Total;13 Madrid, Comunidad de;2;2019;993,52  ;993.52
Total;13 Madrid, Comunidad de;2;2018;907,06  ;907.06
Total;13 Madrid, Comunidad de;2;2017;874,84  ;874.84
Total;13 Madrid, Comunidad de;2;2016;861,65  ;861.65
Total;13 Madrid, Comunidad de;2;2015;837,11  ;837.11
Total;13 Madrid, Comunidad de;2;2014;825,60  ;825.6
Total;13 Madrid, Comunidad de;2;2013;802,28  ;802.28
Total;13 Madrid, Comunidad de;2;2012;849,25  ;849.25
Total;13 Madrid, Comunidad de;2;2011;863,71  ;863.71
Total;13 Madrid, Comunidad de;2;2010;911,21  ;911.21
Total;13 Madrid, Comunidad de;2;2009;873,94  ;873.94
Total;13 Madrid, Comunidad de;2;2008;885,23  ;885.23
Total;13 Madrid, Comunidad de;2;2007;852,37  ;852.37
Total;13 Madrid, Comunidad de;2;2006;798,66  ;798.66
Total;13 Madrid, Comunidad de;3;2022;1.346,99  ;1346.99
Total;13 Madrid, Comunidad de;3;2021;1.263,86  ;1263.86
Total;13 Madrid, Comunidad de;3;2020;1.230,56  ;1230.56
Total;13 Madrid, Comunidad de;3;2019;1.225,33  ;1225.33
Total;13 Madrid, Comunidad de;3;2018;1.157,64  ;1157.64
Total;13 Madrid, Comunidad de;3;2017;1.126,33  ;1126.33
Total;13 Madrid, Comunidad de;3;2016;1.110,84  ;1110.84
Total;13 Madrid, Comunidad de;3;2015;1.103,44  ;1103.44
Total;13 Madrid, Comunidad de;3;2014;1.094,02  ;1094.02
Total;13 Madrid, Comunidad de;3;2013;1.101,51  ;1101.51
Total;13 Madrid, Comunidad de;3;2012;1.126,40  ;1126.4
Total;13 Madrid, Comunidad de;3;2011;1.135,69  ;1135.69
Total;13 Madrid, Comunidad de;3;2010;1.142,05  ;1142.05
Total;13 Madrid, Comunidad de;3;2009;1.119,56  ;1119.56
Total;13 Madrid, Comunidad de;3;2008;1.111,61  ;1111.61
Total;13 Madrid, Comunidad de;3;2007;1.058,56  ;1058.56
Total;13 Madrid, Comunidad de;3;2006;1.006,90  ;1006.9
Total;13 Madrid, Comunidad de;4;2022;1.524,46  ;1524.46
Total;13 Madrid, Comunidad de;4;2021;1.461,73  ;1461.73
Total;13 Madrid, Comunidad de;4;2020;1.422,31  ;1422.31
Total;13 Madrid, Comunidad de;4;2019;1.412,25  ;1412.25
Total;13 Madrid, Comunidad de;4;2018;1.357,00  ;1357,00
Total;13 Madrid, Comunidad de;4;2017;1.324,71  ;1324.71
Total;13 Madrid, Comunidad de;4;2016;1.323,83  ;1323.83
Total;13 Madrid, Comunidad de;4;2015;1.310,50  ;1310.5
Total;13 Madrid, Comunidad de;4;2014;1.319,72  ;1319.72
Total;13 Madrid, Comunidad de;4;2013;1.325,07  ;1325.07
Total;13 Madrid, Comunidad de;4;2012;1.326,48  ;1326.48
Total;13 Madrid, Comunidad de;4;2011;1.314,83  ;1314.83
Total;13 Madrid, Comunidad de;4;2010;1.315,59  ;1315.59
Total;13 Madrid, Comunidad de;4;2009;1.292,19  ;1292.19
Total;13 Madrid, Comunidad de;4;2008;1.269,14  ;1269.14
Total;13 Madrid, Comunidad de;4;2007;1.202,10  ;1202.1
Total;13 Madrid, Comunidad de;4;2006;1.143,44  ;1143.44
Total;13 Madrid, Comunidad de;5;2022;1.718,08  ;1718.08
Total;13 Madrid, Comunidad de;5;2021;1.655,32  ;1655.32
Total;13 Madrid, Comunidad de;5;2020;1.612,70  ;1612.7
Total;13 Madrid, Comunidad de;5;2019;1.594,90  ;1594.9
Total;13 Madrid, Comunidad de;5;2018;1.537,57  ;1537.57
Total;13 Madrid, Comunidad de;5;2017;1.495,13  ;1495.13
Total;13 Madrid, Comunidad de;5;2016;1.488,72  ;1488.72
Total;13 Madrid, Comunidad de;5;2015;1.504,77  ;1504.77
Total;13 Madrid, Comunidad de;5;2014;1.507,23  ;1507.23
Total;13 Madrid, Comunidad de;5;2013;1.505,66  ;1505.66
Total;13 Madrid, Comunidad de;5;2012;1.495,14  ;1495.14
Total;13 Madrid, Comunidad de;5;2011;1.487,20  ;1487.2
Total;13 Madrid, Comunidad de;5;2010;1.480,09  ;1480.09
Total;13 Madrid, Comunidad de;5;2009;1.447,76  ;1447.76
Total;13 Madrid, Comunidad de;5;2008;1.419,01  ;1419.01
Total;13 Madrid, Comunidad de;5;2007;1.339,35  ;1339.35
Total;13 Madrid, Comunidad de;5;2006;1.271,04  ;1271.04
Total;13 Madrid, Comunidad de;6;2022;1.922,26  ;1922.26
Total;13 Madrid, Comunidad de;6;2021;1.875,34  ;1875.34
Total;13 Madrid, Comunidad de;6;2020;1.818,38  ;1818.38
Total;13 Madrid, Comunidad de;6;2019;1.796,26  ;1796.26
Total;13 Madrid, Comunidad de;6;2018;1.758,32  ;1758.32
Total;13 Madrid, Comunidad de;6;2017;1.701,68  ;1701.68
Total;13 Madrid, Comunidad de;6;2016;1.704,40  ;1704.4
Total;13 Madrid, Comunidad de;6;2015;1.713,38  ;1713.38
Total;13 Madrid, Comunidad de;6;2014;1.713,45  ;1713.45
Total;13 Madrid, Comunidad de;6;2013;1.701,78  ;1701.78
Total;13 Madrid, Comunidad de;6;2012;1.692,51  ;1692.51
Total;13 Madrid, Comunidad de;6;2011;1.681,83  ;1681.83
Total;13 Madrid, Comunidad de;6;2010;1.669,56  ;1669.56
Total;13 Madrid, Comunidad de;6;2009;1.634,15  ;1634.15
Total;13 Madrid, Comunidad de;6;2008;1.585,46  ;1585.46
Total;13 Madrid, Comunidad de;6;2007;1.489,93  ;1489.93
Total;13 Madrid, Comunidad de;6;2006;1.419,99  ;1419.99
Total;13 Madrid, Comunidad de;7;2022;2.194,06  ;2194.06
Total;13 Madrid, Comunidad de;7;2021;2.166,51  ;2166.51
Total;13 Madrid, Comunidad de;7;2020;2.118,38  ;2118.38
Total;13 Madrid, Comunidad de;7;2019;2.060,56  ;2060.56
Total;13 Madrid, Comunidad de;7;2018;2.016,88  ;2016.88
Total;13 Madrid, Comunidad de;7;2017;1.974,08  ;1974.08
Total;13 Madrid, Comunidad de;7;2016;1.972,85  ;1972.85
Total;13 Madrid, Comunidad de;7;2015;1.973,39  ;1973.39
Total;13 Madrid, Comunidad de;7;2014;1.988,38  ;1988.38
Total;13 Madrid, Comunidad de;7;2013;1.967,65  ;1967.65
Total;13 Madrid, Comunidad de;7;2012;1.958,36  ;1958.36
Total;13 Madrid, Comunidad de;7;2011;1.928,72  ;1928.72
Total;13 Madrid, Comunidad de;7;2010;1.918,52  ;1918.52
Total;13 Madrid, Comunidad de;7;2009;1.876,69  ;1876.69
Total;13 Madrid, Comunidad de;7;2008;1.791,90  ;1791.9
Total;13 Madrid, Comunidad de;7;2007;1.707,61  ;1707.61
Total;13 Madrid, Comunidad de;7;2006;1.635,33  ;1635.33
Total;13 Madrid, Comunidad de;8;2022;2.600,47  ;2600.47
Total;13 Madrid, Comunidad de;8;2021;2.572,20  ;2572.2
Total;13 Madrid, Comunidad de;8;2020;2.542,21  ;2542.21
Total;13 Madrid, Comunidad de;8;2019;2.451,47  ;2451.47
Total;13 Madrid, Comunidad de;8;2018;2.420,79  ;2420.79
Total;13 Madrid, Comunidad de;8;2017;2.376,69  ;2376.69
Total;13 Madrid, Comunidad de;8;2016;2.365,43  ;2365.43
Total;13 Madrid, Comunidad de;8;2015;2.355,17  ;2355.17
Total;13 Madrid, Comunidad de;8;2014;2.406,20  ;2406.2
Total;13 Madrid, Comunidad de;8;2013;2.380,90  ;2380.9
Total;13 Madrid, Comunidad de;8;2012;2.286,53  ;2286.53
Total;13 Madrid, Comunidad de;8;2011;2.298,79  ;2298.79
Total;13 Madrid, Comunidad de;8;2010;2.294,51  ;2294.51
Total;13 Madrid, Comunidad de;8;2009;2.245,80  ;2245.8
Total;13 Madrid, Comunidad de;8;2008;2.157,38  ;2157.38
Total;13 Madrid, Comunidad de;8;2007;2.046,76  ;2046.76
Total;13 Madrid, Comunidad de;8;2006;1.943,89  ;1943.89
Total;13 Madrid, Comunidad de;9;2022;3.188,49  ;3188.49
Total;13 Madrid, Comunidad de;9;2021;3.160,55  ;3160.55
Total;13 Madrid, Comunidad de;9;2020;3.168,92  ;3168.92
Total;13 Madrid, Comunidad de;9;2019;3.053,77  ;3053.77
Total;13 Madrid, Comunidad de;9;2018;3.035,95  ;3035.95
Total;13 Madrid, Comunidad de;9;2017;2.962,70  ;2962.7
Total;13 Madrid, Comunidad de;9;2016;2.931,97  ;2931.97
Total;13 Madrid, Comunidad de;9;2015;2.971,45  ;2971.45
Total;13 Madrid, Comunidad de;9;2014;2.970,37  ;2970.37
Total;13 Madrid, Comunidad de;9;2013;2.916,25  ;2916.25
Total;13 Madrid, Comunidad de;9;2012;2.850,89  ;2850.89
Total;13 Madrid, Comunidad de;9;2011;2.848,85  ;2848.85
Total;13 Madrid, Comunidad de;9;2010;2.858,71  ;2858.71
Total;13 Madrid, Comunidad de;9;2009;2.828,58  ;2828.58
Total;13 Madrid, Comunidad de;9;2008;2.682,24  ;2682.24
Total;13 Madrid, Comunidad de;9;2007;2.576,26  ;2576.26
Total;13 Madrid, Comunidad de;9;2006;2.428,76  ;2428.76
Total;13 Madrid, Comunidad de;10;2022;5.203,82  ;5203.82
Total;13 Madrid, Comunidad de;10;2021;5.220,33  ;5220.33
Total;13 Madrid, Comunidad de;10;2020;5.127,32  ;5127.32
Total;13 Madrid, Comunidad de;10;2019;4.911,42  ;4911.42
Total;13 Madrid, Comunidad de;10;2018;5.062,14  ;5062.14
Total;13 Madrid, Comunidad de;10;2017;4.918,08  ;4918.08
Total;13 Madrid, Comunidad de;10;2016;4.818,81  ;4818.81
Total;13 Madrid, Comunidad de;10;2015;5.133,31  ;5133.31
Total;13 Madrid, Comunidad de;10;2014;4.807,15  ;4807.15
Total;13 Madrid, Comunidad de;10;2013;4.737,43  ;4737.43
Total;13 Madrid, Comunidad de;10;2012;4.686,76  ;4686.76
Total;13 Madrid, Comunidad de;10;2011;4.537,88  ;4537.88
Total;13 Madrid, Comunidad de;10;2010;4.536,21  ;4536.21
Total;13 Madrid, Comunidad de;10;2009;4.621,91  ;4621.91
Total;13 Madrid, Comunidad de;10;2008;4.625,45  ;4625.45
Total;13 Madrid, Comunidad de;10;2007;3.807,61  ;3807.61
Total;13 Madrid, Comunidad de;10;2006;3.779,34  ;3779.34
Total;14 Murcia, Región de;Total decil;2022;1.876,39  ;1876.39
Total;14 Murcia, Región de;Total decil;2021;1.875,20  ;1875.2
Total;14 Murcia, Región de;Total decil;2020;1.843,41  ;1843.41
Total;14 Murcia, Región de;Total decil;2019;1.774,80  ;1774.8
Total;14 Murcia, Región de;Total decil;2018;1.761,77  ;1761.77
Total;14 Murcia, Región de;Total decil;2017;1.684,16  ;1684.16
Total;14 Murcia, Región de;Total decil;2016;1.627,86  ;1627.86
Total;14 Murcia, Región de;Total decil;2015;1.692,02  ;1692.02
Total;14 Murcia, Región de;Total decil;2014;1.643,82  ;1643.82
Total;14 Murcia, Región de;Total decil;2013;1.541,14  ;1541.14
Total;14 Murcia, Región de;Total decil;2012;1.690,57  ;1690.57
Total;14 Murcia, Región de;Total decil;2011;1.687,16  ;1687.16
Total;14 Murcia, Región de;Total decil;2010;1.613,10  ;1613.1
Total;14 Murcia, Región de;Total decil;2009;1.708,22  ;1708.22
Total;14 Murcia, Región de;Total decil;2008;1.613,06  ;1613.06
Total;14 Murcia, Región de;Total decil;2007;1.423,02  ;1423.02
Total;14 Murcia, Región de;Total decil;2006;1.403,08  ;1403.08
Total;14 Murcia, Región de;1;2022;600,65  ;600.65
Total;14 Murcia, Región de;1;2021;614,56  ;614.56
Total;14 Murcia, Región de;1;2020;509,53  ;509.53
Total;14 Murcia, Región de;1;2019;507,23  ;507.23
Total;14 Murcia, Región de;1;2018;450,42  ;450.42
Total;14 Murcia, Región de;1;2017;473,32  ;473.32
Total;14 Murcia, Región de;1;2016;498,23  ;498.23
Total;14 Murcia, Región de;1;2015;380,02  ;380.02
Total;14 Murcia, Región de;1;2014;414,63  ;414.63
Total;14 Murcia, Región de;1;2013;412,18  ;412.18
Total;14 Murcia, Región de;1;2012;412,12  ;412.12
Total;14 Murcia, Región de;1;2011;447,15  ;447.15
Total;14 Murcia, Región de;1;2010;476,47  ;476.47
Total;14 Murcia, Región de;1;2009;492,18  ;492.18
Total;14 Murcia, Región de;1;2008;501,40  ;501.4
Total;14 Murcia, Región de;1;2007;496,48  ;496.48
Total;14 Murcia, Región de;1;2006;488,50  ;488.5
Total;14 Murcia, Región de;2;2022;1.154,76  ;1154.76
Total;14 Murcia, Región de;2;2021;1.065,39  ;1065.39
Total;14 Murcia, Región de;2;2020;1.004,92  ;1004.92
Total;14 Murcia, Región de;2;2019;997,63  ;997.63
Total;14 Murcia, Región de;2;2018;918,05  ;918.05
Total;14 Murcia, Región de;2;2017;866,79  ;866.79
Total;14 Murcia, Región de;2;2016;866,04  ;866.04
Total;14 Murcia, Región de;2;2015;843,96  ;843.96
Total;14 Murcia, Región de;2;2014;824,14  ;824.14
Total;14 Murcia, Región de;2;2013;815,84  ;815.84
Total;14 Murcia, Región de;2;2012;828,67  ;828.67
Total;14 Murcia, Región de;2;2011;874,08  ;874.08
Total;14 Murcia, Región de;2;2010;912,83  ;912.83
Total;14 Murcia, Región de;2;2009;878,61  ;878.61
Total;14 Murcia, Región de;2;2008;889,69  ;889.69
Total;14 Murcia, Región de;2;2007;852,27  ;852.27
Total;14 Murcia, Región de;2;2006;796,72  ;796.72
Total;14 Murcia, Región de;3;2022;1.347,33  ;1347.33
Total;14 Murcia, Región de;3;2021;1.262,36  ;1262.36
Total;14 Murcia, Región de;3;2020;1.239,91  ;1239.91
Total;14 Murcia, Región de;3;2019;1.224,67  ;1224.67
Total;14 Murcia, Región de;3;2018;1.150,68  ;1150.68
Total;14 Murcia, Región de;3;2017;1.123,29  ;1123.29
Total;14 Murcia, Región de;3;2016;1.119,38  ;1119.38
Total;14 Murcia, Región de;3;2015;1.101,79  ;1101.79
Total;14 Murcia, Región de;3;2014;1.100,20  ;1100.2
Total;14 Murcia, Región de;3;2013;1.098,01  ;1098.01
Total;14 Murcia, Región de;3;2012;1.117,91  ;1117.91
Total;14 Murcia, Región de;3;2011;1.109,42  ;1109.42
Total;14 Murcia, Región de;3;2010;1.124,84  ;1124.84
Total;14 Murcia, Región de;3;2009;1.095,95  ;1095.95
Total;14 Murcia, Región de;3;2008;1.109,25  ;1109.25
Total;14 Murcia, Región de;3;2007;1.055,29  ;1055.29
Total;14 Murcia, Región de;3;2006;1.002,37  ;1002.37
Total;14 Murcia, Región de;4;2022;1.538,32  ;1538.32
Total;14 Murcia, Región de;4;2021;1.463,70  ;1463.7
Total;14 Murcia, Región de;4;2020;1.420,22  ;1420.22
Total;14 Murcia, Región de;4;2019;1.418,93  ;1418.93
Total;14 Murcia, Región de;4;2018;1.357,94  ;1357.94
Total;14 Murcia, Región de;4;2017;1.316,33  ;1316.33
Total;14 Murcia, Región de;4;2016;1.330,65  ;1330.65
Total;14 Murcia, Región de;4;2015;1.308,28  ;1308.28
Total;14 Murcia, Región de;4;2014;1.315,88  ;1315.88
Total;14 Murcia, Región de;4;2013;1.328,32  ;1328.32
Total;14 Murcia, Región de;4;2012;1.324,04  ;1324.04
Total;14 Murcia, Región de;4;2011;1.309,24  ;1309.24
Total;14 Murcia, Región de;4;2010;1.317,14  ;1317.14
Total;14 Murcia, Región de;4;2009;1.298,27  ;1298.27
Total;14 Murcia, Región de;4;2008;1.272,91  ;1272.91
Total;14 Murcia, Región de;4;2007;1.208,21  ;1208.21
Total;14 Murcia, Región de;4;2006;1.146,06  ;1146.06
Total;14 Murcia, Región de;5;2022;1.714,11  ;1714.11
Total;14 Murcia, Región de;5;2021;1.665,79  ;1665.79
Total;14 Murcia, Región de;5;2020;1.601,25  ;1601.25
Total;14 Murcia, Región de;5;2019;1.590,19  ;1590.19
Total;14 Murcia, Región de;5;2018;1.554,07  ;1554.07
Total;14 Murcia, Región de;5;2017;1.490,79  ;1490.79
Total;14 Murcia, Región de;5;2016;1.492,72  ;1492.72
Total;14 Murcia, Región de;5;2015;1.494,83  ;1494.83
Total;14 Murcia, Región de;5;2014;1.507,47  ;1507.47
Total;14 Murcia, Región de;5;2013;1.498,89  ;1498.89
Total;14 Murcia, Región de;5;2012;1.487,79  ;1487.79
Total;14 Murcia, Región de;5;2011;1.481,81  ;1481.81
Total;14 Murcia, Región de;5;2010;1.471,96  ;1471.96
Total;14 Murcia, Región de;5;2009;1.437,71  ;1437.71
Total;14 Murcia, Región de;5;2008;1.410,05  ;1410.05
Total;14 Murcia, Región de;5;2007;1.332,52  ;1332.52
Total;14 Murcia, Región de;5;2006;1.270,57  ;1270.57
Total;14 Murcia, Región de;6;2022;1.920,07  ;1920.07
Total;14 Murcia, Región de;6;2021;1.871,20  ;1871.2
Total;14 Murcia, Región de;6;2020;1.806,29  ;1806.29
Total;14 Murcia, Región de;6;2019;1.790,62  ;1790.62
Total;14 Murcia, Región de;6;2018;1.751,52  ;1751.52
Total;14 Murcia, Región de;6;2017;1.687,45  ;1687.45
Total;14 Murcia, Región de;6;2016;1.688,11  ;1688.11
Total;14 Murcia, Región de;6;2015;1.695,73  ;1695.73
Total;14 Murcia, Región de;6;2014;1.713,26  ;1713.26
Total;14 Murcia, Región de;6;2013;1.701,91  ;1701.91
Total;14 Murcia, Región de;6;2012;1.687,90  ;1687.9
Total;14 Murcia, Región de;6;2011;1.674,85  ;1674.85
Total;14 Murcia, Región de;6;2010;1.662,66  ;1662.66
Total;14 Murcia, Región de;6;2009;1.618,22  ;1618.22
Total;14 Murcia, Región de;6;2008;1.576,01  ;1576.01
Total;14 Murcia, Región de;6;2007;1.493,69  ;1493.69
Total;14 Murcia, Región de;6;2006;1.418,25  ;1418.25
Total;14 Murcia, Región de;7;2022;2.195,61  ;2195.61
Total;14 Murcia, Región de;7;2021;2.179,24  ;2179.24
Total;14 Murcia, Región de;7;2020;2.109,71  ;2109.71
Total;14 Murcia, Región de;7;2019;2.057,97  ;2057.97
Total;14 Murcia, Región de;7;2018;2.012,99  ;2012.99
Total;14 Murcia, Región de;7;2017;1.987,84  ;1987.84
Total;14 Murcia, Región de;7;2016;1.962,67  ;1962.67
Total;14 Murcia, Región de;7;2015;1.949,33  ;1949.33
Total;14 Murcia, Región de;7;2014;2.033,74  ;2033.74
Total;14 Murcia, Región de;7;2013;1.983,37  ;1983.37
Total;14 Murcia, Región de;7;2012;1.955,70  ;1955.7
Total;14 Murcia, Región de;7;2011;1.904,96  ;1904.96
Total;14 Murcia, Región de;7;2010;1.916,45  ;1916.45
Total;14 Murcia, Región de;7;2009;1.863,22  ;1863.22
Total;14 Murcia, Región de;7;2008;1.794,60  ;1794.6
Total;14 Murcia, Región de;7;2007;1.702,79  ;1702.79
Total;14 Murcia, Región de;7;2006;1.616,78  ;1616.78
Total;14 Murcia, Región de;8;2022;2.609,35  ;2609.35
Total;14 Murcia, Región de;8;2021;2.572,33  ;2572.33
Total;14 Murcia, Región de;8;2020;2.508,40  ;2508.4
Total;14 Murcia, Región de;8;2019;2.451,20  ;2451.2
Total;14 Murcia, Región de;8;2018;2.436,20  ;2436.2
Total;14 Murcia, Región de;8;2017;2.366,88  ;2366.88
Total;14 Murcia, Región de;8;2016;2.352,50  ;2352.5
Total;14 Murcia, Región de;8;2015;2.375,85  ;2375.85
Total;14 Murcia, Región de;8;2014;2.366,24  ;2366.24
Total;14 Murcia, Región de;8;2013;2.367,03  ;2367.03
Total;14 Murcia, Región de;8;2012;2.324,45  ;2324.45
Total;14 Murcia, Región de;8;2011;2.293,28  ;2293.28
Total;14 Murcia, Región de;8;2010;2.290,92  ;2290.92
Total;14 Murcia, Región de;8;2009;2.230,51  ;2230.51
Total;14 Murcia, Región de;8;2008;2.141,62  ;2141.62
Total;14 Murcia, Región de;8;2007;2.027,40  ;2027.4
Total;14 Murcia, Región de;8;2006;1.953,56  ;1953.56
Total;14 Murcia, Región de;9;2022;3.172,21  ;3172.21
Total;14 Murcia, Región de;9;2021;3.148,66  ;3148.66
Total;14 Murcia, Región de;9;2020;3.197,64  ;3197.64
Total;14 Murcia, Región de;9;2019;3.063,36  ;3063.36
Total;14 Murcia, Región de;9;2018;2.986,50  ;2986.5
Total;14 Murcia, Región de;9;2017;2.994,53  ;2994.53
Total;14 Murcia, Región de;9;2016;2.957,08  ;2957.08
Total;14 Murcia, Región de;9;2015;2.965,11  ;2965.11
Total;14 Murcia, Región de;9;2014;2.979,67  ;2979.67
Total;14 Murcia, Región de;9;2013;2.900,86  ;2900.86
Total;14 Murcia, Región de;9;2012;2.879,57  ;2879.57
Total;14 Murcia, Región de;9;2011;2.831,47  ;2831.47
Total;14 Murcia, Región de;9;2010;2.815,86  ;2815.86
Total;14 Murcia, Región de;9;2009;2.870,59  ;2870.59
Total;14 Murcia, Región de;9;2008;2.668,57  ;2668.57
Total;14 Murcia, Región de;9;2007;2.557,01  ;2557.01
Total;14 Murcia, Región de;9;2006;2.494,25  ;2494.25
Total;14 Murcia, Región de;10;2022;4.900,80  ;4900.8
Total;14 Murcia, Región de;10;2021;4.998,23  ;4998.23
Total;14 Murcia, Región de;10;2020;4.749,41  ;4749.41
Total;14 Murcia, Región de;10;2019;4.457,54  ;4457.54
Total;14 Murcia, Región de;10;2018;4.565,59  ;4565.59
Total;14 Murcia, Región de;10;2017;4.546,93  ;4546.93
Total;14 Murcia, Región de;10;2016;4.456,25  ;4456.25
Total;14 Murcia, Región de;10;2015;4.458,60  ;4458.6
Total;14 Murcia, Región de;10;2014;4.461,90  ;4461.9
Total;14 Murcia, Región de;10;2013;4.272,89  ;4272.89
Total;14 Murcia, Región de;10;2012;4.468,85  ;4468.85
Total;14 Murcia, Región de;10;2011;4.295,91  ;4295.91
Total;14 Murcia, Región de;10;2010;4.387,07  ;4387.07
Total;14 Murcia, Región de;10;2009;4.190,16  ;4190.16
Total;14 Murcia, Región de;10;2008;4.316,36  ;4316.36
Total;14 Murcia, Región de;10;2007;3.471,35  ;3471.35
Total;14 Murcia, Región de;10;2006;3.429,15  ;3429.15
Total;15 Navarra, Comunidad Foral de;Total decil;2022;2.285,45  ;2285.45
Total;15 Navarra, Comunidad Foral de;Total decil;2021;2.250,35  ;2250.35
Total;15 Navarra, Comunidad Foral de;Total decil;2020;2.209,20  ;2209.2
Total;15 Navarra, Comunidad Foral de;Total decil;2019;2.216,96  ;2216.96
Total;15 Navarra, Comunidad Foral de;Total decil;2018;2.049,75  ;2049.75
Total;15 Navarra, Comunidad Foral de;Total decil;2017;2.177,78  ;2177.78
Total;15 Navarra, Comunidad Foral de;Total decil;2016;2.085,24  ;2085.24
Total;15 Navarra, Comunidad Foral de;Total decil;2015;2.056,25  ;2056.25
Total;15 Navarra, Comunidad Foral de;Total decil;2014;2.051,66  ;2051.66
Total;15 Navarra, Comunidad Foral de;Total decil;2013;2.126,44  ;2126.44
Total;15 Navarra, Comunidad Foral de;Total decil;2012;2.082,38  ;2082.38
Total;15 Navarra, Comunidad Foral de;Total decil;2011;2.038,53  ;2038.53
Total;15 Navarra, Comunidad Foral de;Total decil;2010;2.099,22  ;2099.22
Total;15 Navarra, Comunidad Foral de;Total decil;2009;1.981,90  ;1981.9
